,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
107,#Cookie Jar,2018-07-04,1,3UgPJrKvOaTFgZ185X80Dx,#Cookie Jar,spotify:track:3UgPJrKvOaTFgZ185X80Dx,0.0159,0.682,0.959,0.0,0.19,-2.054,0.0969,158.924,0.893,49,red velvet
108,#Cookie Jar,2018-07-04,2,2uUof8u18LCJwFLMwFm0zC,Aitai-tai,spotify:track:2uUof8u18LCJwFLMwFm0zC,0.0314,0.754,0.729,1.77e-05,0.162,-3.328,0.0484,131.985,0.906,41,red velvet
109,#Cookie Jar,2018-07-04,3,5rWDZBK5vvpkhdz6R2zoS5,Cause it's you,spotify:track:5rWDZBK5vvpkhdz6R2zoS5,0.222,0.697,0.521,0.0,0.158,-3.718,0.0328,116.95,0.575,37,red velvet
111,#Cookie Jar,2018-07-04,5,7puC9LjNg0ItpjTz28yeaY,Russian Roulette,spotify:track:7puC9LjNg0ItpjTz28yeaY,0.00909,0.706,0.902,0.00137,0.17,-2.543,0.0352,130.024,0.964,61,red velvet
112,#Cookie Jar,2018-07-04,6,51Qx2JnvPZo7kIILkLIw6k,Red Flavor,spotify:track:51Qx2JnvPZo7kIILkLIw6k,0.0364,0.708,0.91,0.0,0.0873,-3.282,0.172,125.029,0.588,42,red velvet
115,환생 Rebirth,2017-08-18,1,6QCNYRB8RHXGaRlITuWRgL,환생 Rebirth,spotify:track:6QCNYRB8RHXGaRlITuWRgL,0.31,0.769,0.569,0.000101,0.0674,-4.679,0.0503,86.983,0.755,44,red velvet
116,환생 Rebirth,2017-08-18,2,4ZimsYHp4Y6AxjnxkRe8fW,환생 Rebirth - Instrumental,spotify:track:4ZimsYHp4Y6AxjnxkRe8fW,0.0387,0.743,0.548,0.878,0.125,-6.727,0.0574,173.985,0.629,22,red velvet
117,The Red Summer - Summer Mini Album,2017-07-09,1,7nKQ5WAcjnG48knyLuo8gO,빨간 맛 Red Flavor,spotify:track:7nKQ5WAcjnG48knyLuo8gO,0.0409,0.709,0.917,0.0,0.0839,-3.315,0.189,125.042,0.515,68,red velvet
118,The Red Summer - Summer Mini Album,2017-07-09,2,59fJbRecO16BIw9L1neEug,You Better Know,spotify:track:59fJbRecO16BIw9L1neEug,0.256,0.611,0.668,0.0,0.096,-3.093,0.044,119.978,0.402,52,red velvet
119,The Red Summer - Summer Mini Album,2017-07-09,3,7sEwz6PjhQ1bbSSWb6IBid,Zoo,spotify:track:7sEwz6PjhQ1bbSSWb6IBid,0.0366,0.667,0.905,0.0,0.71,-4.268,0.16,109.021,0.697,50,red velvet
120,The Red Summer - Summer Mini Album,2017-07-09,4,7qCfSyTqh4xGeua7hQXT0Z,여름빛 Mojito,spotify:track:7qCfSyTqh4xGeua7hQXT0Z,0.164,0.623,0.8,0.0,0.359,-4.104,0.0554,150.988,0.697,44,red velvet
121,The Red Summer - Summer Mini Album,2017-07-09,5,5rUWULaKgEK2HozI1wYvZ9,바다가 들려 Hear The Sea,spotify:track:5rUWULaKgEK2HozI1wYvZ9,0.533,0.626,0.565,0.0,0.157,-4.861,0.0298,90.982,0.471,45,red velvet
122,Would U,2017-03-31,1,1rL3u6JsjQT9Cxg1oHTJEK,Would U,spotify:track:1rL3u6JsjQT9Cxg1oHTJEK,0.497,0.758,0.627,0.0,0.204,-6.466,0.0528,93.957,0.544,50,red velvet
123,Would U,2017-03-31,2,5ETypouo215Y8qwjiNHkSw,Would U - Instrumental,spotify:track:5ETypouo215Y8qwjiNHkSw,0.127,0.668,0.681,0.786,0.13,-8.925,0.178,188.004,0.482,25,red velvet
124,Rookie - The 4th Mini Album,2017-02-01,1,69xdFGM7SJkbDf77s0gJEl,Rookie,spotify:track:69xdFGM7SJkbDf77s0gJEl,0.0888,0.683,0.938,0.0,0.331,-3.723,0.288,164.1,0.868,58,red velvet
