,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
71,TWICEcoaster : LANE2,2017-02-21,8,NEXT PAGE,0.0102,0.685,0.8009999999999999,7.240000000000001e-05,0.655,-4.334,0.0448,93.008,0.68,29,twice
72,TWICEcoaster : LANE2,2017-02-21,9,ONE IN A MILLION,0.146,0.599,0.732,0.0,0.204,-2.468,0.0324,89.87,0.424,48,twice
73,Twicecoaster: Lane 2,2017-02-20,1,Knock Knock,0.0242,0.6729999999999999,0.968,0.0,0.0587,-2.636,0.131,129.972,0.47600000000000003,63,twice
74,Twicecoaster: Lane 2,2017-02-20,2,Ice Cream,0.451,0.6509999999999999,0.573,0.0,0.113,-6.452000000000001,0.0375,123.866,0.23399999999999999,53,twice
75,Twicecoaster: Lane 1,2016-10-24,1,TT,0.0525,0.708,0.853,0.000173,0.39899999999999997,-4.398,0.0844,129.946,0.39899999999999997,69,twice
76,Twicecoaster: Lane 1,2016-10-24,2,1 To 10,0.11,0.621,0.8390000000000001,0.0,0.16699999999999998,-3.509,0.271,88.493,0.7,52,twice
77,Twicecoaster: Lane 1,2016-10-24,3,Ponytail,0.18600000000000003,0.517,0.948,0.0,0.847,-1.104,0.0559,161.911,0.7759999999999999,40,twice
78,Twicecoaster: Lane 1,2016-10-24,4,Jelly Jelly,0.11599999999999999,0.705,0.888,6.4e-06,0.325,-1.258,0.132,163.93900000000002,0.885,51,twice
79,Twicecoaster: Lane 1,2016-10-24,5,Pit-a-Pat,0.12300000000000001,0.6629999999999999,0.882,0.00013000000000000002,0.318,-2.54,0.14400000000000002,178.03,0.612,41,twice
80,Twicecoaster: Lane 1,2016-10-24,6,Next Page,0.0102,0.688,0.805,5.68e-05,0.653,-4.298,0.0428,93.009,0.677,41,twice
81,Twicecoaster: Lane 1,2016-10-24,7,One In A Million,0.153,0.601,0.7340000000000001,0.0,0.226,-2.4659999999999997,0.034,90.025,0.434,56,twice
82,Fanfare,2020-07-08,2,MORE & MORE - Japanese ver.,0.044000000000000004,0.747,0.831,0.0,0.0835,-4.9639999999999995,0.0483,106.978,0.517,55,twice
