,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
189,Twicetagram,2017-10-30,6,5Yw9IvodOBXAkP7zQTAfbr,Ding Dong,spotify:track:5Yw9IvodOBXAkP7zQTAfbr,0.0581,0.661,0.872,0.0,0.24,-3.46,0.0534,150.019,0.818,40,twice
190,Twicetagram,2017-10-30,7,7qJz1gaEgYtx4UJHtOGoJO,24/7,spotify:track:7qJz1gaEgYtx4UJHtOGoJO,0.0741,0.878,0.749,1.82e-05,0.404,-4.293,0.0681,123.065,0.531,44,twice
191,Twicetagram,2017-10-30,8,2WL1smzwRRjabdSbvV4wKF,Look At Me,spotify:track:2WL1smzwRRjabdSbvV4wKF,0.156,0.719,0.909,1.21e-06,0.0655,-3.585,0.0365,134.892,0.665,46,twice
192,Twicetagram,2017-10-30,9,5TUIKBmNcWqdwie8kV6mKr,Rollin',spotify:track:5TUIKBmNcWqdwie8kV6mKr,0.0462,0.882,0.629,0.00838,0.28,-5.313,0.0446,122.023,0.244,41,twice
193,Twicetagram,2017-10-30,10,203sd4cosoKgF62jSkqd6z,Love Line,spotify:track:203sd4cosoKgF62jSkqd6z,0.226,0.697,0.767,0.0,0.108,-4.719,0.0444,94.998,0.519,45,twice
194,Twicetagram,2017-10-30,11,4FTczdvR53jxxp6qPBcNMg,Don't Give Up,spotify:track:4FTczdvR53jxxp6qPBcNMg,0.0617,0.839,0.666,8.53e-06,0.132,-6.081,0.0474,102.992,0.454,40,twice
195,Twicetagram,2017-10-30,12,1nUIe8iHQitSldWAuB5AHp,You In My Heart,spotify:track:1nUIe8iHQitSldWAuB5AHp,0.288,0.688,0.858,0.0,0.109,-4.345,0.0328,102.996,0.392,45,twice
196,Twicetagram,2017-10-30,13,14WRue4qjZzL9Bo6q53iwx,Jaljayo Good Night,spotify:track:14WRue4qjZzL9Bo6q53iwx,0.845,0.719,0.399,0.0,0.0887,-8.421,0.0332,133.953,0.361,48,twice
199,TWICEcoaster : LANE1,2017-02-24,3,5GP5RoKQR9TyKovzWIvEe9,PONYTAIL,spotify:track:5GP5RoKQR9TyKovzWIvEe9,0.17,0.516,0.955,0.0,0.751,-1.133,0.0529,161.905,0.827,27,twice
204,TWICEcoaster : LANE2,2017-02-21,1,3rQjCycDV0Ibadg6A1Nq45,KNOCK KNOCK,spotify:track:3rQjCycDV0Ibadg6A1Nq45,0.0242,0.673,0.968,0.0,0.0586,-2.636,0.131,129.972,0.476,52,twice
207,TWICEcoaster : LANE2,2017-02-21,4,5JBieAkgQ3sGi2YADg7MhV,1 TO 10,spotify:track:5JBieAkgQ3sGi2YADg7MhV,0.12,0.621,0.829,0.0,0.16,-3.484,0.232,88.428,0.742,45,twice
209,TWICEcoaster : LANE2,2017-02-21,6,3nvXr8dzpyLdxH0zMUt6tn,JELLY JELLY,spotify:track:3nvXr8dzpyLdxH0zMUt6tn,0.111,0.703,0.891,4.73e-06,0.343,-1.282,0.124,163.929,0.855,47,twice
210,TWICEcoaster : LANE2,2017-02-21,7,4uEC9A9l1nB6aPnlOSre0L,PIT-A-PAT,spotify:track:4uEC9A9l1nB6aPnlOSre0L,0.114,0.741,0.885,0.000149,0.293,-2.475,0.127,89.008,0.587,31,twice
211,TWICEcoaster : LANE2,2017-02-21,8,7pHjR8wRlFZ8gAFr79aPHg,NEXT PAGE,spotify:track:7pHjR8wRlFZ8gAFr79aPHg,0.0102,0.685,0.801,7.24e-05,0.655,-4.334,0.0448,93.008,0.68,29,twice
212,TWICEcoaster : LANE2,2017-02-21,9,6MzuFfdG0zpPOrTXtmtLhF,ONE IN A MILLION,spotify:track:6MzuFfdG0zpPOrTXtmtLhF,0.146,0.599,0.732,0.0,0.204,-2.468,0.0324,89.87,0.424,48,twice
213,Twicecoaster: Lane 2,2017-02-20,1,2dYl2SI3sLyUffzxVBaZBz,Knock Knock,spotify:track:2dYl2SI3sLyUffzxVBaZBz,0.0242,0.673,0.968,0.0,0.0587,-2.636,0.131,129.972,0.476,63,twice
214,Twicecoaster: Lane 2,2017-02-20,2,22DRA2em8kN01PTtasTPXv,Ice Cream,spotify:track:22DRA2em8kN01PTtasTPXv,0.451,0.651,0.573,0.0,0.113,-6.452,0.0375,123.866,0.234,53,twice
222,Twicecoaster: Lane 1,2016-10-24,1,5KfbFCacFuNJGdK2zvovcF,TT,spotify:track:5KfbFCacFuNJGdK2zvovcF,0.0525,0.708,0.853,0.000173,0.399,-4.398,0.0844,129.946,0.399,69,twice
223,Twicecoaster: Lane 1,2016-10-24,2,4XXQJhAXtFqocIqso9V38P,1 To 10,spotify:track:4XXQJhAXtFqocIqso9V38P,0.11,0.621,0.839,0.0,0.167,-3.509,0.271,88.493,0.7,52,twice
224,Twicecoaster: Lane 1,2016-10-24,3,1bWOf5U2GAhWOHl22XPQwA,Ponytail,spotify:track:1bWOf5U2GAhWOHl22XPQwA,0.186,0.517,0.948,0.0,0.847,-1.104,0.0559,161.911,0.776,40,twice
225,Twicecoaster: Lane 1,2016-10-24,4,1PRI1XNUQDBjjm6p0Ya6aD,Jelly Jelly,spotify:track:1PRI1XNUQDBjjm6p0Ya6aD,0.116,0.705,0.888,6.4e-06,0.325,-1.258,0.132,163.939,0.885,51,twice
226,Twicecoaster: Lane 1,2016-10-24,5,5w3R1N8AV5Xa5wHuoQ2srY,Pit-a-Pat,spotify:track:5w3R1N8AV5Xa5wHuoQ2srY,0.123,0.663,0.882,0.00013,0.318,-2.54,0.144,178.03,0.612,41,twice
227,Twicecoaster: Lane 1,2016-10-24,6,6itc3o0yrVbSjxlUeqzrJi,Next Page,spotify:track:6itc3o0yrVbSjxlUeqzrJi,0.0102,0.688,0.805,5.68e-05,0.653,-4.298,0.0428,93.009,0.677,41,twice
228,Twicecoaster: Lane 1,2016-10-24,7,005f9PjCNPQgGOGxAZT2VV,One In A Million,spotify:track:005f9PjCNPQgGOGxAZT2VV,0.153,0.601,0.734,0.0,0.226,-2.466,0.034,90.025,0.434,56,twice
230,Fanfare,2020-07-08,2,1fmNWiZKZem2lMBBlLKW8d,MORE & MORE - Japanese ver.,spotify:track:1fmNWiZKZem2lMBBlLKW8d,0.044,0.747,0.831,0.0,0.0835,-4.964,0.0483,106.978,0.517,55,twice
231,Fanfare,2020-07-08,3,21LS7O1Vi5edoa97SXYzFL,Fanfare - Lee Hae Sol Remix,spotify:track:21LS7O1Vi5edoa97SXYzFL,0.033,0.722,0.895,0.000208,0.137,-3.46,0.038,119.947,0.628,46,twice
232,Fanfare,2020-07-08,4,0D8fmvAj8n9vEuhSxIuHOd,Fanfare - Instrumental,spotify:track:0D8fmvAj8n9vEuhSxIuHOd,8.02e-05,0.669,0.923,0.618,0.0644,-5.089,0.0497,114.977,0.884,40,twice
233,Fanfare,2020-06-19,1,49moLXpCwwantnF78yItWf,Fanfare,spotify:track:49moLXpCwwantnF78yItWf,0.0302,0.669,0.956,9.78e-06,0.0764,-2.49,0.126,114.922,0.81,69,twice
