,album,release_date,track_number,name,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
75,The Red Summer - Summer Mini Album,2017-07-09,1,빨간 맛 Red Flavor,0.0409,0.7090000000000001,0.917,0.0,0.0839,-3.315,0.18899999999999997,125.042,0.515,68,red velvet
76,The Red Summer - Summer Mini Album,2017-07-09,2,You Better Know,0.256,0.611,0.6679999999999999,0.0,0.096,-3.093,0.044000000000000004,119.978,0.402,52,red velvet
77,The Red Summer - Summer Mini Album,2017-07-09,3,Zoo,0.0366,0.667,0.905,0.0,0.71,-4.268,0.16,109.021,0.6970000000000001,50,red velvet
78,The Red Summer - Summer Mini Album,2017-07-09,4,여름빛 Mojito,0.16399999999999998,0.623,0.8,0.0,0.359,-4.104,0.0554,150.988,0.6970000000000001,44,red velvet
79,The Red Summer - Summer Mini Album,2017-07-09,5,바다가 들려 Hear The Sea,0.5329999999999999,0.626,0.565,0.0,0.157,-4.861000000000001,0.0298,90.98200000000001,0.47100000000000003,45,red velvet
80,Would U,2017-03-31,1,Would U,0.49700000000000005,0.758,0.627,0.0,0.204,-6.466,0.0528,93.95700000000001,0.544,50,red velvet
81,Would U,2017-03-31,2,Would U - Instrumental,0.127,0.6679999999999999,0.6809999999999999,0.7859999999999999,0.13,-8.925,0.17800000000000002,188.00400000000002,0.48200000000000004,25,red velvet
82,Rookie - The 4th Mini Album,2017-02-01,1,Rookie,0.0888,0.6829999999999999,0.938,0.0,0.331,-3.7230000000000003,0.28800000000000003,164.1,0.868,58,red velvet
83,Rookie - The 4th Mini Album,2017-02-01,2,Little Little,0.28,0.5920000000000001,0.711,0.0,0.0694,-4.938,0.0383,91.926,0.27899999999999997,47,red velvet
84,Rookie - The 4th Mini Album,2017-02-01,3,Happily Ever After,0.0399,0.665,0.6509999999999999,3.02e-05,0.0504,-6.435,0.0801,155.984,0.9059999999999999,44,red velvet
85,Rookie - The 4th Mini Album,2017-02-01,4,Talk To Me,0.28800000000000003,0.584,0.813,3.68e-06,0.345,-4.809,0.171,164.79,0.8809999999999999,49,red velvet
86,Rookie - The 4th Mini Album,2017-02-01,5,Body Talk,0.006520000000000001,0.526,0.828,4.05e-05,0.147,-5.343999999999999,0.07,185.946,0.158,46,red velvet
87,Rookie - The 4th Mini Album,2017-02-01,6,마지막 사랑 Last Love,0.565,0.331,0.509,0.0,0.10800000000000001,-6.231,0.0331,129.47899999999998,0.13699999999999998,40,red velvet
88,Russian Roulette - The 3rd Mini Album,2016-09-07,1,러시안 룰렛 Russian Roulette,0.055,0.726,0.903,0.000225,0.158,-2.2769999999999997,0.0357,129.986,0.958,61,red velvet
89,Russian Roulette - The 3rd Mini Album,2016-09-07,2,Lucky Girl,0.0299,0.6,0.828,0.0,0.33399999999999996,-3.4530000000000003,0.207,169.75799999999998,0.66,45,red velvet
90,Russian Roulette - The 3rd Mini Album,2016-09-07,3,Bad Dracula,0.207,0.644,0.9309999999999999,0.0,0.23199999999999998,-1.8419999999999999,0.11599999999999999,93.986,0.6679999999999999,43,red velvet
91,Russian Roulette - The 3rd Mini Album,2016-09-07,4,Sunny Afternoon,0.0844,0.747,0.841,0.0,0.38,-3.648,0.0787,95.02799999999999,0.605,42,red velvet
92,Russian Roulette - The 3rd Mini Album,2016-09-07,5,Fool,0.527,0.634,0.6990000000000001,5.99e-05,0.0673,-3.898,0.109,177.94099999999997,0.774,43,red velvet
93,Russian Roulette - The 3rd Mini Album,2016-09-07,6,Some Love,0.0649,0.7440000000000001,0.907,0.000685,0.272,-3.154,0.0567,99.988,0.746,42,red velvet
94,Russian Roulette - The 3rd Mini Album,2016-09-07,7,My Dear,0.327,0.55,0.7979999999999999,0.0,0.0905,-2.681,0.131,201.965,0.847,38,red velvet
95,Yossism (Music from Telemonster),2016-05-02,1,Yossism (Music from Telemonster),0.0874,0.708,0.95,0.0,0.0631,-1.136,0.0458,140.016,0.905,24,red velvet
96,투유 프로젝트 - 슈가맨 Pt.13,2016-01-13,1,너에게 원한건,0.0379,0.772,0.8809999999999999,0.0,0.353,-4.971,0.0813,115.99,0.44799999999999995,25,red velvet
97,투유 프로젝트 - 슈가맨 Pt.13,2016-01-13,2,상상 속의 너,0.43700000000000006,0.679,0.8170000000000001,0.0,0.34600000000000003,-3.202,0.0526,140.017,0.715,19,red velvet
98,세가지 소원 Wish Tree - WINTER GARDEN,2015-12-18,1,세가지 소원 Wish Tree,0.643,0.563,0.534,0.0,0.0989,-4.35,0.0273,114.161,0.344,39,red velvet
99,Ice Cream Cake,2015-03-17,6,Candy,0.593,0.5539999999999999,0.5770000000000001,0.0,0.17800000000000002,-5.071000000000001,0.0346,135.922,0.316,38,red velvet
100,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,1,Ice Cream Cake,0.0318,0.58,0.935,0.0,0.0977,-3.3480000000000003,0.18899999999999997,172.023,0.603,59,red velvet
101,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,2,Automatic,0.0996,0.598,0.604,0.0,0.387,-6.406000000000001,0.252,179.938,0.7070000000000001,50,red velvet
102,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,3,Somethin Kinda Crazy,0.395,0.72,0.828,0.0,0.114,-3.134,0.0408,104.045,0.7859999999999999,42,red velvet
103,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,4,Stupid Cupid,0.0197,0.6990000000000001,0.78,0.00011899999999999999,0.629,-3.694,0.129,123.041,0.8340000000000001,40,red velvet
104,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,5,Take It Slow,0.19899999999999998,0.758,0.583,0.0,0.102,-5.227,0.0315,104.007,0.345,42,red velvet
105,The 1st Mini Album‘Ice Cream Cake’,2015-03-17,6,사탕 (Candy),0.593,0.5539999999999999,0.5770000000000001,0.0,0.17800000000000002,-5.071000000000001,0.0346,135.921,0.316,43,red velvet
106,The 2nd Single 'Be Natural',2014-10-13,1,Be Natural,0.12300000000000001,0.58,0.868,0.0,0.302,-1.195,0.316,178.002,0.772,49,red velvet
107,The 1st Single '행복(Happiness)',2014-08-01,1,행복 (Happiness),0.32299999999999995,0.727,0.871,6.21e-06,0.725,-3.0989999999999998,0.158,121.43799999999999,0.6809999999999999,58,red velvet
108,TROLLS World Tour (Original Motion Picture Soundtrack),2020-03-13,1,The Other Side,0.00277,0.76,0.607,0.0,0.132,-6.274,0.0964,105.979,0.7090000000000001,57,red velvet
