,album,release_date,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,artist
45,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,6,1sIKkwYIffUw0vLU8RsWIR,"雪の華 / JISOO - LIVE BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1sIKkwYIffUw0vLU8RsWIR,0.456,0.267,0.312,0.0,0.31,-11.951,0.0314,142.572,0.327,52,blackpink
46,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,7,5S7by1wwGii36WAs4sBjzc,"SOLO - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5S7by1wwGii36WAs4sBjzc,0.0535,0.649,0.637,5.3e-06,0.95,-9.747,0.263,95.009,0.365,53,blackpink
47,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,8,6149wOhItvVX0zoa1KK5hw,"ラスト・クリスマス 〜 赤鼻のトナカイ - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6149wOhItvVX0zoa1KK5hw,0.127,0.497,0.58,0.0,0.671,-10.129,0.0648,106.953,0.622,45,blackpink
48,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,9,6X9DNG2WR3IclfneGurU0T,"Kiss and Make Up - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6X9DNG2WR3IclfneGurU0T,0.13,0.65,0.697,0.0,0.862,-9.582,0.272,99.771,0.551,54,blackpink
49,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,10,1fMXWEkJpIH483OrKn1zFV,"SO HOT - THEBLACKLABEL REMIX BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1fMXWEkJpIH483OrKn1zFV,0.0588,0.783,0.809,1e-05,0.515,-10.0,0.221,140.025,0.814,64,blackpink
50,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,11,7nWREW5AWOgLMmW6jKJUEz,"REALLY - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:7nWREW5AWOgLMmW6jKJUEz,0.0229,0.711,0.815,0.0,0.803,-7.164,0.118,141.973,0.804,40,blackpink
51,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,12,5dYjvCegNq6LbwWTzy1xIC,"SEE U LATER - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:5dYjvCegNq6LbwWTzy1xIC,0.0376,0.737,0.871,0.0,0.84,-7.936,0.125,106.978,0.685,40,blackpink
52,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,13,1uK64bAOSKhKFTUwrF2r2p,"BOOMBAYAH - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:1uK64bAOSKhKFTUwrF2r2p,0.0677,0.682,0.835,0.0,0.797,-6.269,0.0928,125.056,0.421,41,blackpink
53,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,14,6b5xktkZLF96lv5HrFucu4,"PLAYING WITH FIRE - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:6b5xktkZLF96lv5HrFucu4,0.0231,0.619,0.756,0.0,0.842,-6.859,0.122,96.97,0.593,40,blackpink
54,"BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",2019-03-13,15,4sB4UCnEu6UVC0dWtCqUAT,"AS IF IT’S YOUR LAST - BLACKPINK ARENA TOUR 2018 ""SPECIAL FINAL IN KYOCERA DOME OSAKA""",spotify:track:4sB4UCnEu6UVC0dWtCqUAT,0.0475,0.626,0.833,0.0,0.574,-6.327,0.0778,125.027,0.516,40,blackpink
